words,RMSE,trend_points
ar_البحر_الأحمر,16.90816562745185,4
ar_البحر_الميت,24.872901420932912,7
ar_البحرين,21.113204965013505,6
ar_البداية_والنهاية,15.32130824187507,6
ar_البرتغال,18.29639768615551,7
ar_البصرة,24.496923515505145,8
ar_البندقية,19.077682853001605,4
ar_الترجي_الرياضي_التونسي,19.16523861171126,6
ar_التركيبة_السكانية_في_مصر,23.458490064950716,7
ar_التصنيف_الأكاديمي_لجامعات_العالم,25.22347834768134,3
ar_التهاب_الجيوب,13.146293005058107,4
ar_التهاب_السحايا,18.604828421012577,4
ar_التوحيد_في_الإسلام,22.776908468029994,3
ar_التوراة,18.727962278426194,3
ar_الثورة_البلشفية,21.060490433496977,3
ar_الثورة_العربية_الكبرى,16.837538894499147,2
ar_الجامع_الأزهر,22.270185009225294,3
ar_الجامع_الأموي_(دمشق),19.85469868282472,6
ar_الجزائر,23.216008195078157,2
ar_الجزائر_(مدينة),20.941946827419457,8
ar_الجمهورية_العربية_المتحدة,23.72306689354852,5
ar_الحبيب_بورقيبة,13.87792347214389,2
ar_الحج_في_الإسلام,14.01944544608464,1
ar_الحجر_الأسود,22.60031061067151,6
ar_الحرب_الأهلية_الأمريكية,21.692299229502236,8
ar_الحرب_الأهلية_اللبنانية,20.64603909364538,4
ar_الحرب_الأهلية_اليمنية_(2015-الآن),18.919455558703863,4
ar_الحرب_الباردة,22.577738118413016,3
ar_الحرب_العالمية_الأولى,15.28922835965844,1
ar_الحرب_العالمية_الثانية,16.028049038447097,3
