Unnamed: 0,words,RMSE,trend_points
167,de_The_Submission_of_Emma_Marx,14.625810134752774,4
168,de_The_Sweet,14.332684610571615,1
169,de_The_Thing_(2011),13.979406139696705,9
170,de_The_Times,17.725627582251082,4
171,de_The_Tourist_(2010),16.442204613611043,4
172,de_The_Town_–_Stadt_ohne_Gnade,13.161781192819731,6
173,de_The_Trump_Organization,13.199873804393153,4
174,de_The_Twelve_Days_of_Christmas,13.39934054475141,1
175,de_The_Undertaker,14.03419369883086,4
176,de_The_Untouchables_–_Die_Unbestechlichen,13.680877533058464,1
177,de_The_Voice_(Castingshow),13.998655496379847,4
178,de_The_Voice_(Vereinigte_Staaten),15.595290859222045,1
179,de_The_Voice_Kids,11.797809039511662,6
180,de_The_Voice_UK,17.117942747341303,7
181,de_The_Voices,16.98691763666557,6
182,de_The_Wall,36.018325846344204,7
183,de_The_Way_Back_–_Der_lange_Weg,16.498933960883697,5
184,de_The_West_Wing_–_Im_Zentrum_der_Macht,17.355091678053952,8
185,de_The_World_(Inselgruppe),17.5835586401496,2
186,de_The_World’s_Billionaires,17.188258921883868,5
187,de_The_World’s_End,13.631408952331936,5
188,de_The_World’s_Most_Powerful_People,14.867754128872294,5
189,de_The_X_Factor_(Vereinigtes_Königreich),101.29820078695404,9
190,de_Theanin,20.22836348732811,5
191,de_Theater,28.54532740959517,4
192,de_Theben_(Böotien),110.60375421013286,14
193,de_Thekla_Carola_Wied,17.111578964147927,5
194,de_Themse,15.57593918528841,5
195,de_Theo_Lingen,9.820488820772304,7
196,de_Theo_Morell,24.23226431400501,6
197,de_Theo_Waigel,14.662161035546458,7
198,de_Theobald_von_Bethmann_Hollweg,13.944946451882632,3
199,de_Theodor_Eicke,14.05963924971411,1
200,de_Theodor_Fontane,14.443298800498734,1
201,de_Theodore_Kaczynski,13.695389898875773,4
202,de_Theodore_Roosevelt,14.612882275505669,5
203,de_Theodosius_I.,14.773548984286224,3
204,de_Theorie,14.255697696165633,3
205,de_Theorie_der_freien_Radikale,15.31800474467989,4
206,de_Theorie_der_hohlen_Erde,13.762440788403985,4
207,de_Theorie_der_multiplen_Intelligenzen,13.623525950582255,4
208,de_Theorie_der_rationalen_Entscheidung,14.570831041150534,2
209,de_Theosophie,15.084712312192755,3
210,de_Theresa_May,14.201003018678328,5
211,de_Theresa_Underberg,12.318093036423216,4
212,de_Therizinosaurus,12.440034931355514,4
213,de_Thermen,14.48041692177272,1
214,de_Thermitreaktion,14.634400977507472,3
215,de_Thermometer,16.17265637492902,3
216,de_Thermoplast,14.865050392416455,3
217,de_Thesaurus,15.278024808605881,3
218,de_These,16.47858001129856,7
219,de_Thesenpapier,14.760916343723126,3
220,de_Thiel_und_Boerne,15.241182908268039,7
221,de_Thierry_Henry,16.44892608534091,6
222,de_Thin_Client,15.314964425225313,3
223,de_Thing,15.251746849471402,4
224,de_ThinkPad,13.915687556113758,1
225,de_Thiocyanate,15.170586252801995,3
226,de_This_Is_Us,13.85941670532292,8
227,de_Thom_Yorke,14.6243003566353,4
228,de_Thomanerchor,14.298405202879374,3
229,de_Thomas_(Apostel),13.307558163217807,4
230,de_Thomas_Anders,15.04943095628112,3
231,de_Thomas_Bangalter,16.015159304194473,2
232,de_Thomas_Brodie-Sangster,13.407137118554552,3
233,"de_Thomas_Cromwell,_1._Earl_of_Essex",14.62019829964472,1
234,de_Thomas_Danneberg,14.1882962199649,3
235,de_Thomas_Diethart,14.017248181612285,5
236,de_Thomas_Fischer_(Jurist),14.37316081937098,3
237,de_Thomas_Fritsch_(Schauspieler),14.739753085361269,1
238,de_Thomas_Gottschalk,14.891014084236396,3
