words,ebay_trend,arima_trend,lstm_trend,sarima_trend,tes_trend,ma_trend
an_Usuario:-jkb-,False,False,False,False,False,False
an_Usuario:-revi,True,False,False,True,False,False
an_Usuario:Archaeodontosaurus,False,False,False,True,False,False
an_Usuario:Beyond_My_Ken,False,False,True,True,False,False
an_Usuario:CHV,False,False,False,False,False,False
an_Usuario:Chlewbot,False,False,False,True,False,False
an_Usuario:CommonsDelinker,False,False,False,False,False,False
an_Usuario:Culex,True,True,False,False,False,False
an_Usuario:DEagleBot,False,False,False,False,False,False
an_Usuario:Gato_Preto,True,False,False,True,False,False
an_Usuario:Isidre_blanc,True,False,False,False,False,False
an_Usuario:Ivanhercaz,False,False,False,False,False,False
an_Usuario:JCIV,False,False,False,False,False,False
an_Usuario:Jbribeiro1,False,False,False,True,False,False
an_Usuario:Jcb,False,False,False,True,False,False
an_Usuario:Jembot,False,True,False,False,False,False
an_Usuario:Jmvkrecords,False,False,True,False,False,False
an_Usuario:Juanpabl,False,False,False,True,False,False
an_Usuario:Krassotkin,False,False,False,False,False,False
an_Usuario:Litlok,True,False,False,False,False,False
an_Usuario:MahdiBot,False,False,False,False,False,False
an_Usuario:Maintenance_script,False,False,False,False,False,False
an_Usuario:Makecat-bot,False,False,False,False,False,False
an_Usuario:Richardkiwi,False,False,False,True,False,False
an_Usuario:Samat,False,False,False,True,False,False
an_Usuario:Taketa,False,False,False,False,False,False
an_Usuario:Xeno,False,False,False,True,False,False
an_Wikipedia:Abiso_legal,False,False,False,True,True,False
an_Wikipedia:Aduya,False,False,False,False,False,False
an_Wikipedia:Almenistrador,False,False,False,False,False,False
an_Wikipedia:Bots,False,False,False,False,False,False
an_Wikipedia:Burocratas,False,False,False,False,False,False
an_Wikipedia:Candidaturas_a_administradors,False,False,False,False,False,False
an_Wikipedia:Comunidat,True,False,False,False,False,False
an_Wikipedia:Tabierna,False,False,False,False,False,False
an_Wikipedia:Tabierna/Aduya,True,True,False,False,False,False
an_Wikipedia:Tabierna/Noticias,False,False,False,True,False,False
an_Wikipedia:Tabierna/Tecnica,True,False,False,False,False,False
an_Wikipedia:Uso_d'a_luenga,False,False,False,False,True,False
ang_Help:Innoþ,True,False,False,False,False,False
ang_Hēafodtramet,False,False,True,False,False,False
ang_Wikipǣdia:Gemǣnscipes_Ingang,False,False,False,False,False,False
ang.d_Hēafodtramet,True,False,False,False,False,False
ang.m_Hēafodtramet,False,False,False,True,False,False
