Unnamed: 0,words,rmse,trend_points
189,commons.m_Special:CreateAccount,53.17495383902405,8
190,commons.m_Special:EditWatchlist,18.574534072986328,5
191,commons.m_Special:FeedItem/potd/20170104000000/en,28.08541122058633,12
192,commons.m_Special:GlobalUsage,16.854466936419872,5
193,commons.m_Special:LanguageStats,22.247637688964485,4
194,commons.m_Special:ListFiles,23.68126206028726,10
195,commons.m_Special:Log,15.794728967783751,6
196,commons.m_Special:Log/upload,19.275049620576624,8
197,commons.m_Special:MovePage,17.792975584016148,10
198,commons.m_Special:MyContributions,19.802686116260762,6
199,commons.m_Special:MyLanguage/Commons:2D_copying,20.18619123240236,8
200,commons.m_Special:MyLanguage/Commons:Administrators/De-adminship,20.88713579144757,7
201,commons.m_Special:MyLanguage/Commons:Assume_good_faith,19.277656453633746,7
202,commons.m_Special:MyLanguage/Commons:Bad_sources,22.231009557838007,9
203,commons.m_Special:MyLanguage/Commons:Blocking_policy,20.464731337471928,8
204,commons.m_Special:MyLanguage/Commons:Categories,20.29199719944997,8
205,commons.m_Special:MyLanguage/Commons:Choosing_a_license,21.157941843353232,9
206,commons.m_Special:MyLanguage/Commons:ComeOn!,19.147331601565494,9
207,commons.m_Special:MyLanguage/Commons:Command-line_upload,21.648926575247533,8
208,commons.m_Special:MyLanguage/Commons:Commonist,19.932821905759123,9
209,commons.m_Special:MyLanguage/Commons:Community_portal,22.954313362904273,8
210,commons.m_Special:MyLanguage/Commons:Contact_us,20.10084688844089,12
211,commons.m_Special:MyLanguage/Commons:Contact_us/Problems,18.216925328815893,9
212,commons.m_Special:MyLanguage/Commons:Contact_us/Reuse,17.054089461358586,9
213,commons.m_Special:MyLanguage/Commons:Copyright_rules,21.347398235266787,8
214,commons.m_Special:MyLanguage/Commons:Copyright_rules_by_subject_matter,22.186556368406556,6
215,commons.m_Special:MyLanguage/Commons:Copyright_rules_by_territory,24.247535973422078,8
216,commons.m_Special:MyLanguage/Commons:Credit_line,20.36887910724768,8
217,commons.m_Special:MyLanguage/Commons:Criteria_for_speedy_deletion,21.4909844311868,7
218,commons.m_Special:MyLanguage/Commons:Currency,20.30744295398514,9
219,commons.m_Special:MyLanguage/Commons:De_minimis,20.089589779415554,7
220,commons.m_Special:MyLanguage/Commons:Deletion_policy,20.908104956414,7
221,commons.m_Special:MyLanguage/Commons:Deletion_requests/All_files_copyrighted_in_the_US_under_the_URAA,22.160071458175977,9
222,commons.m_Special:MyLanguage/Commons:Derivative_works,20.85138762591685,8
223,commons.m_Special:MyLanguage/Commons:Fair_use,21.512928707853284,6
224,commons.m_Special:MyLanguage/Commons:Fan_art,19.85941392707613,10
